row_id,player_id,age,position,team,opponent,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pct,ft_pct,plus_minus,efficiency,game_location,rest_days,target
1,1102,25,C,NOP,MIA,12.2,9,3,0,1,1,2,51.4,19.6,79.9,-3,12,Home,2,0
2,1435,25,C,IND,HOU,30.9,15,14,5,1,2,0,41.0,31.2,68.1,1,37,Away,1,1
3,1348,30,PF,NYK,NOP,18.9,11,4,2,1,0,2,47.4,28.0,78.2,-2,16,Away,2,0
4,1270,27,SG,SAS,WAS,20.0,12,4,2,0,0,3,49.3,45.8,68.1,7,15,Away,2,0
5,1106,29,C,PHI,ORL,27.8,16,10,4,1,0,2,34.5,22.5,76.0,7,29,Away,1,1
6,1071,30,PG,POR,GSW,32.3,17,5,6,1,1,3,46.6,41.2,77.6,-14,27,Away,0,0
7,1188,25,C,TOR,SAC,15.7,10,6,1,0,1,3,44.0,28.2,71.1,-3,15,Away,2,0
8,1020,27,SG,CHI,DET,20.3,14,2,3,0,0,2,41.4,37.3,76.7,11,17,Away,0,0
9,1102,26,PG,IND,HOU,40.9,23,4,10,1,2,2,52.7,40.1,71.1,15,38,Away,3,1
10,1121,30,PF,MIA,SAC,21.1,10,1,2,1,1,0,60.6,41.0,74.1,-13,15,Home,1,0
11,1466,25,SG,ATL,DET,24.5,10,3,0,0,0,1,51.2,32.3,75.0,1,12,Away,2,0
12,1214,27,SG,BOS,SAC,36.8,26,3,3,1,1,2,51.1,29.1,85.4,5,32,Away,2,1
13,1330,34,SG,GSW,OKC,32.6,18,7,4,0,0,2,36.6,40.1,75.9,0,27,Away,0,0
14,1458,31,PG,BOS,HOU,20.1,11,2,4,0,0,1,43.7,31.8,95.0,1,16,Away,1,0
15,1087,23,PG,POR,MIL,43.0,26,5,7,2,0,3,48.1,41.3,69.3,-12,37,Away,2,1
16,1372,29,PG,GSW,PHX,21.0,16,0,5,0,1,2,41.8,37.1,81.9,10,20,Home,3,0
17,1099,29,SF,PHI,HOU,28.7,15,7,3,1,0,3,61.9,29.7,65.4,2,23,Away,2,0
18,1359,23,PG,MIN,IND,23.3,14,2,2,1,0,1,46.1,30.9,72.6,-3,18,Home,3,0
19,1151,26,PF,ATL,HOU,21.6,11,6,4,1,0,1,56.5,38.4,82.5,0,21,Home,0,1
20,1130,23,SG,CHI,OKC,31.7,15,6,6,1,0,1,50.0,35.8,83.4,-3,27,Away,0,1
21,1149,19,C,IND,MIN,23.2,15,10,4,0,2,1,51.3,23.6,75.3,-11,30,Home,2,1
22,1308,26,C,MIL,BKN,36.8,21,11,0,1,1,3,50.8,29.6,68.7,4,31,Away,1,1
23,1257,25,SG,POR,DAL,21.0,19,1,2,1,1,1,58.5,31.2,84.5,-4,23,Home,1,0
24,1343,23,PF,NOP,TOR,39.0,17,11,1,1,1,1,46.6,34.7,86.4,0,30,Away,2,1
25,1491,26,PF,MIN,BKN,27.0,12,7,3,0,0,3,41.0,35.9,69.5,-7,19,Home,5,0
26,1413,20,C,WAS,MIL,20.2,7,8,2,0,1,2,47.8,30.5,75.7,-13,16,Away,0,0
27,1293,27,SF,LAC,PHX,34.0,19,9,3,2,1,1,40.5,33.0,82.8,14,33,Home,0,1
28,1385,27,PG,ORL,DEN,15.1,11,2,3,2,0,2,40.9,30.1,78.7,3,16,Home,3,0
29,1191,29,PF,BKN,ORL,21.8,10,4,2,1,1,2,44.5,34.1,73.5,13,16,Away,0,1
30,1443,21,PF,OKC,PHI,17.5,7,8,3,1,1,1,43.6,26.7,76.5,-9,19,Home,1,0
31,1276,33,PF,GSW,NYK,33.0,18,8,3,2,1,2,31.1,28.9,70.8,-8,30,Home,2,1
32,1160,32,SG,LAL,MEM,28.5,17,6,4,1,0,2,46.7,36.7,58.9,8,26,Home,1,0
33,1459,24,C,DEN,CHI,33.8,17,9,3,1,2,2,52.4,32.7,69.2,1,30,Home,1,1
34,1313,31,C,GSW,NYK,37.2,14,14,0,1,2,2,46.9,40.9,82.0,6,29,Away,1,1
35,1021,29,SG,BOS,LAL,40.3,27,7,4,2,0,5,57.5,32.0,68.2,9,35,Home,1,1
36,1252,25,PG,TOR,MIN,20.5,13,2,4,2,0,3,50.4,34.1,81.4,-12,18,Away,2,0
37,1235,25,PG,LAC,PHX,20.3,15,6,5,0,0,0,51.3,25.0,82.6,-14,26,Away,1,1
38,1344,25,C,CHI,SAS,23.2,15,4,1,1,1,1,39.6,31.0,94.9,-4,21,Home,1,0
39,1048,36,PF,HOU,IND,17.3,11,6,0,0,0,0,47.3,24.6,76.0,1,17,Home,2,0
40,1474,31,PF,PHX,PHI,35.0,18,10,0,1,0,1,52.4,39.1,86.1,-4,28,Away,4,1
41,1058,26,SG,ATL,LAC,42.5,21,5,4,2,0,3,43.1,39.1,80.1,19,29,Away,3,1
42,1169,26,SF,SAC,DEN,30.4,22,5,3,1,0,0,59.8,27.6,63.5,-16,31,Away,3,1
43,1475,29,SG,GSW,LAC,17.4,13,3,0,1,0,3,53.2,36.7,71.0,-3,14,Home,1,0
44,1187,29,SF,WAS,ATL,33.1,21,4,2,1,0,4,50.9,36.2,79.0,-1,24,Home,1,0
45,1463,23,PF,SAS,MIN,22.0,13,4,2,1,1,1,46.6,41.2,91.1,-15,20,Home,2,0
46,1270,27,C,UTA,BOS,23.2,14,5,2,0,2,2,33.7,33.1,81.1,-4,21,Away,1,0
47,1189,25,C,TOR,IND,17.5,10,7,0,1,1,1,53.7,24.4,74.0,8,18,Home,2,0
48,1445,27,C,LAC,NYK,23.2,17,9,0,0,1,1,44.8,42.4,78.6,0,26,Away,0,1
49,1174,26,SG,TOR,PHI,28.5,9,6,6,1,0,1,42.6,29.2,72.5,-13,21,Away,1,0
50,1445,30,SF,CHA,DEN,32.1,18,6,1,1,0,2,44.9,48.0,77.5,-6,24,Away,1,0
51,1050,26,PF,OKC,DAL,16.5,14,7,2,1,0,2,39.3,33.4,68.0,-2,22,Away,1,0
52,1363,27,C,WAS,ATL,20.3,8,11,2,1,1,2,42.4,20.9,76.8,12,21,Away,2,1
53,1054,20,PG,GSW,NOP,20.5,16,2,4,1,0,2,51.2,32.8,86.1,-5,21,Home,2,0
54,1243,28,SG,IND,DEN,23.9,14,7,4,1,0,1,50.2,40.4,89.8,-11,25,Away,0,0
55,1319,24,PG,LAL,SAC,22.7,11,0,5,3,1,1,48.2,47.1,95.0,-2,19,Home,4,0
56,1130,22,SF,SAS,GSW,23.1,12,2,2,0,0,2,37.1,30.3,95.0,-5,14,Away,1,0
57,1484,30,SG,BKN,WAS,28.8,20,3,2,1,1,1,54.7,33.6,69.5,4,26,Home,3,1
58,1306,26,SG,TOR,PHI,27.3,16,2,3,0,1,2,50.3,29.8,94.5,7,20,Home,2,0
59,1134,20,PG,BOS,WAS,22.0,13,3,3,0,1,2,36.7,33.6,86.4,3,18,Away,2,0
60,1020,24,SG,TOR,ATL,33.3,21,5,2,1,1,1,51.9,31.8,86.0,6,29,Home,4,1
61,1328,27,C,NOP,MEM,23.0,8,5,2,0,1,2,45.4,25.3,86.0,3,14,Home,3,0
62,1166,27,SG,HOU,MIA,31.5,17,2,4,1,0,2,50.3,38.7,70.6,-2,22,Away,1,0
63,1273,25,PF,OKC,UTA,20.7,11,2,2,0,1,0,37.4,27.1,84.9,-5,16,Away,0,0
64,1387,19,PF,DAL,CHA,28.4,14,6,1,1,0,0,44.3,33.3,62.9,-4,22,Away,1,0
65,1088,25,C,MIN,GSW,18.0,8,6,0,1,1,0,33.9,41.2,70.7,0,16,Home,1,1
66,1315,30,PG,UTA,DEN,40.4,19,4,10,1,1,3,46.1,29.2,70.7,6,32,Home,2,1
67,1013,31,C,LAL,MEM,17.4,7,5,5,1,1,2,51.9,35.5,88.7,4,17,Home,2,0
68,1241,25,SF,DAL,LAL,19.1,8,0,2,1,0,1,42.5,27.4,86.1,11,10,Away,1,0
69,1264,33,C,ORL,OKC,12.4,3,4,0,0,1,3,49.6,28.7,73.9,11,5,Home,1,0
70,1345,21,C,WAS,MIL,25.5,18,8,0,0,2,1,40.7,32.4,76.6,8,27,Away,2,1
71,1052,24,SG,DAL,DEN,41.6,25,4,4,2,1,3,46.5,37.4,85.4,4,33,Away,1,1
72,1385,29,PG,PHI,CLE,35.5,20,4,7,1,2,3,55.1,42.1,84.8,-12,31,Home,2,1
73,1339,29,SG,DET,GSW,28.5,12,6,0,1,0,1,45.9,30.3,85.7,-4,18,Home,1,0
74,1091,26,SF,PHI,NYK,31.9,21,8,3,1,0,2,52.8,36.0,63.8,-2,31,Away,1,1
75,1366,23,PG,WAS,NYK,37.1,20,1,8,0,0,2,50.7,31.6,74.1,-13,27,Away,4,0
76,1443,23,PG,IND,DEN,29.0,18,4,8,1,0,3,52.4,38.9,72.8,3,28,Home,1,0
77,1454,24,SF,UTA,LAL,20.1,8,3,5,1,0,0,37.8,43.2,67.6,5,17,Away,2,1
78,1427,23,PG,CLE,OKC,18.0,12,3,3,1,0,3,51.7,46.7,74.7,3,16,Away,1,0
79,1263,27,PG,SAC,BKN,19.1,8,2,5,1,0,2,55.4,43.4,82.4,-13,14,Home,1,0
80,1430,26,SG,PHX,PHI,31.6,15,4,5,0,0,2,57.1,39.6,65.4,-6,22,Away,3,0
81,1034,23,PG,DAL,LAL,19.7,12,0,5,0,0,3,41.5,40.0,67.9,-18,14,Home,2,0
82,1205,25,SG,ORL,OKC,37.4,21,5,4,1,1,3,47.4,38.2,86.3,-2,29,Home,3,0
83,1080,19,SF,CHA,GSW,25.1,13,4,2,1,0,2,39.1,43.5,77.6,5,18,Home,5,0
84,1419,28,SF,MIA,ORL,18.0,8,5,3,1,0,1,44.0,21.8,71.9,-15,16,Away,0,0
85,1049,29,C,DAL,GSW,29.6,11,8,1,2,2,3,41.3,30.3,81.1,4,21,Home,5,1
86,1359,24,SF,TOR,ORL,41.3,20,8,4,2,1,3,53.3,37.5,74.4,10,32,Home,0,1
87,1387,24,SF,DEN,PHI,31.4,21,7,3,1,0,3,53.1,28.7,82.6,-8,29,Home,0,1
88,1001,27,SG,DEN,IND,14.7,9,4,3,1,0,0,50.6,19.8,75.0,-11,17,Home,2,0
89,1389,27,C,TOR,CLE,16.6,12,5,4,1,0,0,49.8,24.7,77.3,-6,22,Home,1,0
90,1053,29,C,TOR,PHI,23.2,13,6,2,1,1,0,50.2,39.4,82.5,-1,23,Home,3,0
91,1105,24,C,NYK,IND,27.1,18,10,3,1,1,3,47.6,47.3,77.0,4,30,Away,1,1
92,1259,24,PF,SAC,TOR,23.0,11,4,2,1,1,1,51.4,16.3,78.0,-9,18,Away,1,0
93,1309,26,PG,POR,CHA,37.8,20,5,10,1,1,4,53.4,42.7,89.6,6,33,Away,0,1
94,1476,23,SG,BKN,CHI,35.9,15,5,3,1,0,3,51.7,35.5,68.0,-3,21,Away,1,0
95,1190,26,PG,DET,SAC,29.3,15,2,8,2,0,2,54.2,35.1,68.4,-10,25,Home,1,1
96,1401,23,C,NOP,UTA,25.1,12,10,1,0,0,2,64.7,21.6,91.5,5,21,Away,0,0
97,1217,28,PF,LAC,PHX,26.4,19,7,1,1,0,1,51.7,33.4,75.6,24,27,Away,2,1
98,1043,24,PF,DAL,TOR,31.7,16,12,4,1,1,3,40.9,16.3,89.9,-13,31,Away,4,1
99,1161,27,SG,NYK,SAS,24.7,18,3,2,2,1,2,40.8,43.1,70.7,2,24,Home,1,0
100,1201,31,C,OKC,PHI,20.4,10,6,0,1,0,2,41.8,44.2,68.3,6,15,Home,1,0
101,1445,28,SG,UTA,MIL,37.1,22,4,2,1,0,3,45.8,33.0,81.5,0,26,Home,0,1
102,1483,27,PG,MEM,DAL,28.8,18,4,6,2,0,2,46.0,27.1,73.0,7,28,Away,1,1
103,1269,22,SG,NOP,CLE,42.5,24,3,6,1,0,3,47.1,26.7,75.8,1,31,Home,1,1
104,1350,31,SF,BOS,UTA,20.6,11,4,0,1,2,1,47.1,33.0,75.1,1,17,Home,1,0
105,1303,30,SF,IND,OKC,28.9,15,4,3,1,1,2,49.0,26.5,61.4,-1,22,Home,2,0
106,1270,26,C,DEN,WAS,17.3,9,9,1,1,0,0,49.5,29.5,73.6,3,20,Away,0,0
107,1455,25,PG,WAS,DEN,32.7,18,4,6,1,0,4,55.3,41.3,77.0,-4,25,Home,0,0
108,1461,24,SF,PHI,DAL,30.7,15,5,5,2,1,3,55.1,33.3,79.4,14,25,Away,4,1
109,1214,32,SF,PHI,DEN,25.2,12,6,2,0,0,2,45.7,34.9,69.3,11,18,Away,2,0
110,1251,29,SG,DEN,GSW,22.1,17,7,3,0,0,1,48.7,41.5,77.9,-8,26,Home,1,1
111,1189,24,C,LAC,ATL,26.3,11,10,1,0,1,3,59.0,27.3,80.5,-21,20,Home,2,0
112,1295,30,PF,ATL,CHA,17.8,12,6,3,1,0,1,44.2,42.5,71.4,-2,21,Home,2,0
113,1212,31,PF,TOR,MIN,35.9,13,3,4,1,1,2,42.2,38.2,78.0,-8,20,Home,2,1
114,1207,26,C,PHX,NOP,19.2,5,4,5,1,0,0,44.0,31.5,83.5,2,15,Away,3,1
115,1236,25,PF,GSW,TOR,27.7,11,12,2,0,0,2,39.3,32.9,70.9,-5,23,Away,1,0
116,1337,23,SG,TOR,HOU,19.5,11,1,1,1,0,1,43.5,39.1,72.9,2,13,Away,2,0
117,1366,29,PF,WAS,MIA,32.2,15,9,4,1,2,3,37.7,40.6,90.0,3,28,Away,2,1
118,1052,25,SG,WAS,MIN,18.5,12,1,2,1,1,1,42.2,36.4,88.1,-16,16,Home,2,0
119,1279,25,SG,OKC,TOR,26.1,15,6,3,2,0,2,55.9,42.5,83.7,14,24,Away,3,1
120,1409,26,PG,PHX,CLE,23.5,13,0,6,1,1,1,36.9,42.6,89.0,-6,20,Away,1,0
121,1216,24,PF,DET,SAC,36.7,17,11,2,0,1,2,47.1,22.4,84.8,2,29,Home,2,1
122,1251,31,PF,UTA,BOS,23.8,7,5,4,1,1,0,42.6,42.4,85.0,5,18,Away,3,0
123,1187,30,SG,BOS,CHI,15.1,5,0,2,0,0,2,47.6,35.8,78.6,-6,5,Home,1,0
124,1379,27,PF,NOP,CHI,28.6,14,7,2,1,2,1,47.0,24.8,75.7,-11,25,Home,0,1
125,1492,24,C,ORL,OKC,34.9,15,9,1,1,1,2,52.3,36.9,76.0,6,25,Home,3,0
126,1040,24,PG,POR,LAL,27.1,12,5,8,0,1,0,47.9,37.6,69.1,13,26,Away,3,1
127,1156,24,SG,LAL,ATL,14.7,6,2,3,1,0,1,38.6,30.1,84.6,-3,11,Home,1,0
128,1014,23,PF,GSW,WAS,26.8,10,5,2,2,1,2,47.9,38.6,68.0,-11,18,Home,1,1
129,1300,28,SG,GSW,PHI,29.4,18,5,2,1,0,2,34.7,36.2,82.3,-8,24,Home,4,0
130,1064,24,PF,DEN,MEM,33.3,17,6,4,0,1,4,35.9,32.5,74.9,-5,24,Away,1,0
131,1344,24,PG,LAL,ORL,21.2,10,4,5,2,1,2,53.6,41.0,78.7,4,20,Away,1,1
132,1326,24,SF,LAC,LAL,24.3,11,5,0,1,1,1,49.8,23.7,73.0,-8,17,Home,4,0
133,1008,30,PF,CLE,PHI,18.1,12,0,2,1,1,2,43.2,35.9,66.5,6,14,Away,1,0
134,1343,24,PF,OKC,MIA,28.4,12,10,3,1,2,2,46.5,38.9,74.5,-4,26,Away,3,0
135,1128,31,C,WAS,CHA,36.8,21,10,2,1,3,2,54.0,31.1,74.2,-12,35,Away,2,1
136,1491,26,C,LAC,WAS,18.6,8,8,2,0,0,1,48.7,30.7,73.9,-1,17,Away,4,0
137,1135,23,PF,BKN,TOR,17.7,12,4,2,1,1,1,42.7,43.5,80.5,3,19,Away,1,0
138,1471,28,PF,TOR,CLE,36.8,21,13,3,0,2,3,42.2,22.4,82.5,-3,36,Home,3,1
139,1062,29,PG,NYK,DET,20.0,12,5,3,1,0,1,36.6,42.4,76.5,5,20,Away,1,0
140,1138,24,SF,UTA,ATL,21.7,14,7,2,1,1,2,42.7,38.5,81.9,-17,23,Away,1,0
141,1498,27,PG,LAC,PHI,31.8,19,1,6,2,1,1,39.0,28.2,79.8,-3,28,Away,1,1
142,1080,28,PF,PHI,MIL,11.2,0,3,0,0,0,1,51.6,32.9,75.1,4,2,Away,1,0
143,1391,27,SG,PHI,UTA,24.5,15,2,4,1,1,1,49.1,42.8,63.4,3,22,Home,2,1
144,1162,25,SF,NOP,PHX,12.5,8,3,0,1,1,0,40.1,40.3,87.7,-3,13,Home,3,0
145,1418,29,SG,MIA,CHA,14.9,5,2,3,0,1,2,41.6,36.0,91.2,-3,9,Away,2,0
146,1288,26,PF,CHA,DAL,29.8,19,9,3,0,1,0,45.4,28.5,84.8,10,32,Home,3,1
147,1378,25,C,BKN,MIL,18.6,10,9,0,0,3,1,45.1,30.9,74.0,-5,21,Away,2,1
148,1260,21,SG,MEM,DAL,31.2,19,7,4,1,0,2,53.8,36.0,66.7,-2,29,Away,1,1
